date,piid,agency,ceiling_value,value,update_date,fpds_status,fpds_link,vendor,description
2/12/2025,20343025F00001,Consumer Financial Protection Bureau,27112,27112,2/14/2025,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343025F00001&modNumber=P00001&idvAgencyID=&idvPIID=20343023D00001&contractType=AWARD,"EXPERIAN INFORMATION SOLUTIONS, INC.","CONSUMER CREDIT INFORMATION PANEL, MAKING ENDS MEET"
2/12/2025,9531CB23C0006,Consumer Financial Protection Bureau,28000,27200,2/14/2025,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23C0006&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,STEVEN VELEZ ORTA,TERRITORIES EXPERT
2/12/2025,20343024F00048,Consumer Financial Protection Bureau,270900,36120,2/14/2025,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00048&modNumber=P00002&idvAgencyID=&idvPIID=03310323D0035&contractType=AWARD,RELX INC,ACCURINT GOVERNMENT PLUS LICENSES
2/12/2025,9531CB23P0014,Consumer Financial Protection Bureau,321000,64200,2/14/2025,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23P0014&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,"SOFTTHINK SOLUTIONS, INC",MOBILE INTELLIGENCE DATA PLATFORM
2/12/2025,20343024P00005,Consumer Financial Protection Bureau,97590,65370,2/14/2025,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024P00005&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,"LAWPROSE, INC.",LAWPROSE FY24 ADVANCED LEGAL WRITING & EDITING CLASSES
2/12/2025,20343024F00053,Consumer Financial Protection Bureau,602834,81582,2/14/2025,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00053&modNumber=P00002&idvAgencyID=&idvPIID=GS02F026DA&contractType=AWARD,WEST PUBLISHING CORPORATION,CLEAR INVESTIGATION SOFTWARE
2/12/2025,9531CB22F0048,Consumer Financial Protection Bureau,783300,87789,2/14/2025,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22F0048&modNumber=P00008&idvAgencyID=&idvPIID=9531CB22A0001&contractType=AWARD,HUMAN TOUCH TRANSLATIONS LTD.,"TRANSLATIONS, COMPLIANCE AND QUALITY REVIEW"
2/12/2025,9531CB21C0022,Consumer Financial Protection Bureau,625730,134051,2/14/2025,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0022&modNumber=P00006&idvAgencyID=&idvPIID=&contractType=AWARD,"CRA INTERNATIONAL, INC.",LITIGATION EXPERT SERVICES FOR CFPB LEGAL DIVISION
2/12/2025,9531CB21C0027,Consumer Financial Protection Bureau,288210,135988,2/14/2025,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0027&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,"CRA INTERNATIONAL, INC.",COMPENSATION AND CONSULTING EXPERT
2/12/2025,9531CB21C0019,Consumer Financial Protection Bureau,421313,160536,2/14/2025,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0019&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"AUS MARKETING RESEARCH SYSTEMS, INC.",NEW EXPERT WITNESS CONTRACT - TELEPHONE SURVEYS
2/12/2025,9531CB21C0026,Consumer Financial Protection Bureau,279000,190000,2/14/2025,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0026&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"PAYMENT INNOVATION & REGULATION, LLC",EXPERT SERVICES
2/12/2025,9531CB21C0024,Consumer Financial Protection Bureau,564580,252781,2/14/2025,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0024&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,DOMESTIC AWARDEES (UNDISCLOSED),EXPERT CONTRACT - HMDA ANALYSIS
2/12/2025,9531CB21C0020,Consumer Financial Protection Bureau,865930,409633,2/14/2025,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0020&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,DOMESTIC AWARDEES (UNDISCLOSED),NEW EXPERT WITNESS CONTRACT - RESEARCH FIRM
2/12/2025,20343022F00009,Consumer Financial Protection Bureau,3437246,434348,2/14/2025,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343022F00009&modNumber=P00007&idvAgencyID=&idvPIID=47QTCA18D008L&contractType=AWARD,"GARTNER, INC.",IT RESEARCH & ADVISORY SUBSCRIPTIONS
2/10/2025,9531CB25P0012,Consumer Financial Protection Bureau,635375,522660,2/11/2025,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25P0012&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"POLITICO, LLC",POLITICO PRO
2/12/2025,9531CB23F0078,Consumer Financial Protection Bureau,4457776,592043,2/14/2025,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23F0078&modNumber=P00006&idvAgencyID=&idvPIID=9531CB23A0018&contractType=AWARD,FORUM ONE COMMUNICATIONS CORPORATION,CONTRACTOR SUPPORT SERVICES FOR EDITORIAL SUPPORT
2/12/2025,9531CB20C0016,Consumer Financial Protection Bureau,3299900,596513,2/14/2025,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB20C0016&modNumber=P00007&idvAgencyID=&idvPIID=&contractType=AWARD,DOMESTIC AWARDEES (UNDISCLOSED),ECONOMIC ANAYSIS EXPERT SUPPORT
2/12/2025,9531CB23C0008,Consumer Financial Protection Bureau,3713712,732081,2/14/2025,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23C0008&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,AMA CONSULTING LLC,508 SUPPORT SERVICES
2/12/2025,20343024F00052,Consumer Financial Protection Bureau,899985,899985,2/14/2025,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00052&modNumber=P00001&idvAgencyID=&idvPIID=20343023D00001&contractType=AWARD,"EXPERIAN INFORMATION SOLUTIONS, INC.",CONSUMER CREDIT INFORMATION PANEL IDIQ CONTRACT - AUTO LOAN SURVEY
2/12/2025,20343024F00005,Consumer Financial Protection Bureau,5405885,1917787,2/14/2025,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00005&modNumber=P00004&idvAgencyID=&idvPIID=20343023A00003&contractType=AWARD,DELOITTE & TOUCHE LLP,CYBERSECURITY SUPPORT SERVICES BPA ORDER - SECURITY ARCHITECTURE AND ENGINEERING (SAE)
1/28/2025,9531CB24A0008,Consumer Financial Protection Bureau,9999999,9999999,1/29/2025,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24A0008&modNumber=P00001&idvAgencyID=&idvPIID=47QRAA20D003C&contractType=IDV,CULTUREPOINT LLC,OMWI Training Support  - DEIA Training Termination
1/27/2025,9531CB24A0009,Consumer Financial Protection Bureau,9999999,9999999,1/29/2025,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24A0009&modNumber=P00001&idvAgencyID=&idvPIID=47QSEA21D004D&contractType=IDV,NEUROLEADERSHIP INSTITUTE INC.,OMWI Training Support - Psychological Safety - Termination
2/12/2025,9531CB24F0039,Consumer Financial Protection Bureau,8295,0,2/14/2025,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0039&modNumber=P00001&idvAgencyID=&idvPIID=9531CB22A0002&contractType=AWARD,COMMERCIAL OFFICE FURNITURE COMPANY,"BPA CALL 0002 - FURNITURE, FIXTURES AND EQUIPMENT (FF&E) FOR THE CONSUMER FINANCIAL PROTECTION BUREAU"
2/12/2025,9531CB24F0018,Consumer Financial Protection Bureau,38648,0,2/14/2025,OTHER ADMINISTRATIVE ACTION,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0018&modNumber=P00001&idvAgencyID=&idvPIID=GS02F0111U&contractType=AWARD,WORLD INSTITUTE OF LEADERSHIP & LEARNING,"DESIGN, DEVELOPMENT, AND HOSTING OF LEARNING MODULES"
2/12/2025,9531CB24F0083,Consumer Financial Protection Bureau,40810,0,2/14/2025,BASE AWARD,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0083&modNumber=0&idvAgencyID=&idvPIID=47QREA24D000E&contractType=AWARD,"BEACON TRAINING SERVICES, INC.",SQL TRAINING
2/12/2025,20343024F00017,Consumer Financial Protection Bureau,41901,0,2/14/2025,EXERCISE AN OPTION,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00017&modNumber=P00002&idvAgencyID=&idvPIID=NNG15SD24B&contractType=AWARD,TECHANAX LLC,DELL POWEREDGE SERVER MAINTENANCE
2/12/2025,9531CB25F0014,Consumer Financial Protection Bureau,43850,0,2/14/2025,BASE AWARD,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25F0014&modNumber=0&idvAgencyID=&idvPIID=NNG15SD42B&contractType=AWARD,"ARCHITECHTURE SOLUTIONS, LLC",JIRA LICENSES
2/12/2025,20343024F00051,Consumer Financial Protection Bureau,49667,0,2/14/2025,OTHER ADMINISTRATIVE ACTION,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00051&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SD00B&contractType=AWARD,BLUE TECH INC.,SECUREAUTH IDP LICENSE RENEWAL
2/12/2025,9531CB24F0045,Consumer Financial Protection Bureau,52866,0,2/14/2025,BASE AWARD,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0045&modNumber=0&idvAgencyID=&idvPIID=47QSWA18D008F&contractType=AWARD,CARAHSOFT TECHNOLOGY CORP.,LINKEDIN LEARNING LICENSES
2/12/2025,9531CB24F0077,Consumer Financial Protection Bureau,56710,0,2/14/2025,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0077&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SD76B&contractType=AWARD,"ENTERPRISE TECHNOLOGY SOLUTIONS, INC.",AVENIR NEXT FONT LICENSE
2/12/2025,9531CB23F0038,Consumer Financial Protection Bureau,58370,0,2/14/2025,EXERCISE AN OPTION,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23F0038&modNumber=P00002&idvAgencyID=&idvPIID=47QTCA20D002P&contractType=AWARD,"LRP PUBLICATIONS, INC.",CYBERFEDS LICENSES.
2/12/2025,20343024F00044,Consumer Financial Protection Bureau,62420,0,2/14/2025,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00044&modNumber=P00003&idvAgencyID=&idvPIID=NNG15SC77B&contractType=AWARD,"GOVPLACE, INC.",ACCELLION KITEWORKS ENTERPRISE
2/12/2025,9531CB22F0073,Consumer Financial Protection Bureau,62956,0,2/14/2025,EXERCISE AN OPTION,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22F0073&modNumber=P00002&idvAgencyID=&idvPIID=NNG15SD74B&contractType=AWARD,SOFTWARE INFORMATION RESOURCE CORP.,VIRUSTOTAL BASIC SUBSCRIPTION
2/12/2025,20343024F00046,Consumer Financial Protection Bureau,72546,0,2/14/2025,BASE AWARD,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00046&modNumber=0&idvAgencyID=&idvPIID=NNG15SD06B&contractType=AWARD,"4 STAR TECHNOLOGIES, INC.",RSTUDIO SERVER PRO MAINTENANCE RENEWAL
2/12/2025,20343021F00006,Consumer Financial Protection Bureau,77777,0,2/14/2025,EXERCISE AN OPTION,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343021F00006&modNumber=P00009&idvAgencyID=&idvPIID=03310319D0022&contractType=AWARD,"ECONOMIST INTELLIGENCE UNIT, NA, INCORPORATED, THE",THE ECONOMIST SUBSCRIPTION
2/12/2025,20343022P00009,Consumer Financial Protection Bureau,82884,0,2/14/2025,EXERCISE AN OPTION,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343022P00009&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,THE CAPITOL FORUM,CAPITOL FORUM SUBSCRIPTION
2/12/2025,9531CB23F0016,Consumer Financial Protection Bureau,85300,0,2/14/2025,EXERCISE AN OPTION,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23F0016&modNumber=P00003&idvAgencyID=&idvPIID=03310319D0074&contractType=AWARD,"LEADERSHIP DIRECTORIES, INC.",LEADERSHIP CONNECT
2/12/2025,9531CB25F0008,Consumer Financial Protection Bureau,88960,0,2/14/2025,BASE AWARD,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25F0008&modNumber=0&idvAgencyID=&idvPIID=47QSWA18D008F&contractType=AWARD,CARAHSOFT TECHNOLOGY CORP.,LINKEDIN SUBSCRIPTION SERVICES
2/12/2025,20343024F00033,Consumer Financial Protection Bureau,95340,0,2/14/2025,BASE AWARD,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00033&modNumber=0&idvAgencyID=&idvPIID=47QTCA19D0022&contractType=AWARD,"O'REILLY MEDIA, INC",O'REILLY LEARNING PLATFORM
2/12/2025,20343024F00036,Consumer Financial Protection Bureau,97492,0,2/14/2025,BASE AWARD,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00036&modNumber=0&idvAgencyID=&idvPIID=NNG15SC23B&contractType=AWARD,ACCESSAGILITY LLC,LIGHTBEND AKKA ENTERPRISE SUBSCRIPTION
2/12/2025,9531CB22A0024,Consumer Financial Protection Bureau,250000,0,2/14/2025,EXERCISE AN OPTION,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22A0024&modNumber=P00003&idvAgencyID=&idvPIID=GS02F0116T&contractType=IDV,"PENINSULA MEDIATION CENTER, INC.",MEDIATION SUPPORT SERVICES BPA
2/12/2025,20343022F00044,Consumer Financial Protection Bureau,259447,0,2/14/2025,EXERCISE AN OPTION,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343022F00044&modNumber=P00002&idvAgencyID=&idvPIID=NNG15SD11B&contractType=AWARD,"GOVSMART, INC.",AXWAY PREMIER LEVEL MAINTENANCE SUPPORT
2/12/2025,9531CB23F0039,Consumer Financial Protection Bureau,263402,0,2/14/2025,BASE AWARD,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23F0039&modNumber=0&idvAgencyID=&idvPIID=NNG15SC71B&contractType=AWARD,"FCN, INC.",NUTANIX HARDWARE DESKTOP ENGINEERING LAB SYSTEM UPGRADE
2/12/2025,9531CB25F0033,Consumer Financial Protection Bureau,275319,0,2/14/2025,BASE AWARD,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25F0033&modNumber=0&idvAgencyID=&idvPIID=NNG15SC71B&contractType=AWARD,"FCN, INC.",GRANICUS INC. (GOVDELIVERY) LICENSE RENEWAL
2/12/2025,20343021C00006,Consumer Financial Protection Bureau,287030,0,2/14/2025,EXERCISE AN OPTION,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343021C00006&modNumber=P00008&idvAgencyID=&idvPIID=&contractType=AWARD,"NATIONAL CONSUMER LAW CENTER, INC.",NATIONAL CONSUMER LAW CENTER LIBRARY ACCESS
2/12/2025,9531CB20F0053,Consumer Financial Protection Bureau,305382,0,2/14/2025,EXERCISE AN OPTION,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB20F0053&modNumber=P00006&idvAgencyID=&idvPIID=NNG15SC05B&contractType=AWARD,"COUNTERTRADE PRODUCTS, INC.",LEAPTREE OPTIMIZE LICENSES
